Sample1	Sample2	p_same	Model1	Model2	psame	pdiff	nummatch	nummismatch	numopphom	numhettohom	numhomtohet
GSM2392582.GSM2392582	CCLE_MCF7_BREAST.CCLE_MCF7_BREAST	-210.8	GSM2392582	CCLE_MCF7_BREAST	-344.1	-133.3	62	83	24	18	41
GSM2392582.GSM2392582	CCLE_MDAMB175VII_BREAST.CCLE_MDAMB175VII_BREAST	-255.8	GSM2392582	CCLE_MDAMB175VII_BREAST	-389.9	-134.0	47	96	31	22	43
GSM2392582.GSM2392582	AU565_BREAST.CCLE_AU565_BREAST	-226.8	GSM2392582	AU565_BREAST	-363.6	-136.8	53	89	42	18	29
GSM2392582.GSM2392582	HCC1187_BREAST.CCLE_HCC1187_BREAST	-185.6	GSM2392582	HCC1187_BREAST	-321.7	-136.1	65	76	39	18	19
GSM2392582.GSM2392582	CCLE_HCC1143_BREAST.CCLE_HCC1143_BREAST	-183.0	GSM2392582	CCLE_HCC1143_BREAST	-317.4	-134.4	67	75	28	21	26
GSM2392582.GSM2392582	CCLE_HCC1419_BREAST.CCLE_HCC1419_BREAST	-246.2	GSM2392582	CCLE_HCC1419_BREAST	-377.7	-131.5	48	93	32	17	44
GSM2392582.GSM2392582	CCLE_HCC1395_BREAST.CCLE_HCC1395_BREAST	-154.3	GSM2392582	CCLE_HCC1395_BREAST	-291.4	-137.1	75	67	34	20	13
GSM2392582.GSM2392582	HCC2157_BREAST.CCLE_HCC2157_BREAST	-218.6	GSM2392582	HCC2157_BREAST	-358.0	-139.5	57	86	43	21	22
GSM2392582.GSM2392582	CCLE_KPL1_BREAST.CCLE_KPL1_BREAST	-211.3	GSM2392582	CCLE_KPL1_BREAST	-341.9	-130.6	60	82	24	18	40
GSM2392582.GSM2392582	CCLE_BT20_BREAST.CCLE_BT20_BREAST	-190.1	GSM2392582	CCLE_BT20_BREAST	-329.8	-139.6	66	77	42	20	15
GSM2392582.GSM2392582	CCLE_HMC18_BREAST.CCLE_HMC18_BREAST	-210.0	GSM2392582	CCLE_HMC18_BREAST	-340.2	-130.3	52	82	39	19	24
GSM2392582.GSM2392582	HCC1954_BREAST.CCLE_HCC1954_BREAST	-225.1	GSM2392582	HCC1954_BREAST	-361.3	-136.1	58	87	31	20	36
GSM2392582.GSM2392582	CCLE_HCC202_BREAST.CCLE_HCC202_BREAST	-193.4	GSM2392582	CCLE_HCC202_BREAST	-329.2	-135.8	66	76	33	20	23
GSM2392582.GSM2392582	HCC1806_BREAST.CCLE_HCC1806_BREAST	-202.4	GSM2392582	HCC1806_BREAST	-343.9	-141.5	63	80	46	22	12
GSM2392582.GSM2392582	HCC1937_BREAST.CCLE_HCC1937_BREAST	-225.2	GSM2392582	HCC1937_BREAST	-368.3	-143.1	57	87	48	23	16
GSM2392582.GSM2392582	BT474_BREAST.CCLE_BT474_BREAST	-213.7	GSM2392582	BT474_BREAST	-348.4	-134.7	58	84	33	21	30
GSM2392582.GSM2392582	CCLE_HMEL_BREAST.CCLE_HMEL_BREAST	-251.5	GSM2392582	CCLE_HMEL_BREAST	-382.6	-131.1	49	94	27	15	52
GSM2392582.GSM2392582	CCLE_ZR751_BREAST.CCLE_ZR751_BREAST	-187.1	GSM2392582	CCLE_ZR751_BREAST	-318.6	-131.5	63	75	31	21	23
GSM2392582.GSM2392582	ZR7530_BREAST.CCLE_ZR7530_BREAST	-242.4	GSM2392582	ZR7530_BREAST	-381.8	-139.4	52	93	47	14	32
GSM2392582.GSM2392582	CAL120_BREAST.CCLE_CAL120_BREAST	-218.0	GSM2392582	CAL120_BREAST	-353.3	-135.2	57	84	37	18	29
GSM2392582.GSM2392582	CCLE_HDQP1_BREAST.CCLE_HDQP1_BREAST	-171.1	GSM2392582	CCLE_HDQP1_BREAST	-307.2	-136.1	72	70	33	20	17
GSM2392582.GSM2392582	EFM19_BREAST.CCLE_EFM19_BREAST	-192.0	GSM2392582	EFM19_BREAST	-324.8	-132.8	64	77	33	16	28
GSM2392582.GSM2392582	CCLE_EFM192A_BREAST.CCLE_EFM192A_BREAST	-186.6	GSM2392582	CCLE_EFM192A_BREAST	-322.7	-136.2	69	76	29	19	28
GSM2392582.GSM2392582	UACC812_BREAST.CCLE_UACC812_BREAST	-172.8	GSM2392582	UACC812_BREAST	-296.3	-123.5	60	70	33	14	23
GSM2392582.GSM2392582	CCLE_HS578T_BREAST.CCLE_HS578T_BREAST	-224.7	GSM2392582	CCLE_HS578T_BREAST	-354.4	-129.7	53	85	29	18	38
GSM2392582.GSM2392582	HCC70_BREAST.CCLE_HCC70_BREAST	-220.8	GSM2392582	HCC70_BREAST	-353.5	-132.7	54	84	36	21	27
GSM2392582.GSM2392582	HCC38_BREAST.CCLE_HCC38_BREAST	-204.4	GSM2392582	HCC38_BREAST	-342.8	-138.4	64	80	37	20	23
GSM2392582.GSM2392582	CAL851_BREAST.CCLE_CAL851_BREAST	-199.1	GSM2392582	CAL851_BREAST	-334.9	-135.8	65	77	35	19	23
GSM2392582.GSM2392582	CCLE_CAMA1_BREAST.CCLE_CAMA1_BREAST	-207.2	GSM2392582	CCLE_CAMA1_BREAST	-337.4	-130.2	62	81	21	17	43
GSM2392582.GSM2392582	CCLE_JIMT1_BREAST.CCLE_JIMT1_BREAST	-214.8	GSM2392582	CCLE_JIMT1_BREAST	-348.3	-133.4	57	84	33	18	33
GSM2392582.GSM2392582	CCLE_MDAMB453_BREAST.CCLE_MDAMB453_BREAST	-185.2	GSM2392582	CCLE_MDAMB453_BREAST	-315.2	-130.0	68	74	22	15	37
GSM2392582.GSM2392582	MDAMB361_BREAST.CCLE_MDAMB361_BREAST	-212.2	GSM2392582	MDAMB361_BREAST	-334.2	-122.0	55	82	18	11	53
GSM2392582.GSM2392582	CCLE_MDAMB134VI_BREAST.CCLE_MDAMB134VI_BREAST	-210.1	GSM2392582	CCLE_MDAMB134VI_BREAST	-336.0	-125.8	56	80	24	17	39
GSM2392582.GSM2392582	MDAMB157_BREAST.CCLE_MDAMB157_BREAST	-218.3	GSM2392582	MDAMB157_BREAST	-353.8	-135.6	51	85	50	19	16
GSM2392582.GSM2392582	MDAMB231_BREAST.CCLE_MDAMB231_BREAST	-196.5	GSM2392582	MDAMB231_BREAST	-324.1	-127.6	60	79	20	18	41
GSM2392582.GSM2392582	CCLE_HS739T_FIBROBLAST.CCLE_HS739T_FIBROBLAST	-248.6	GSM2392582	CCLE_HS739T_FIBROBLAST	-381.1	-132.5	46	93	38	16	39
GSM2392582.GSM2392582	T47D_BREAST.CCLE_T47D_BREAST	55.7	GSM2392582	T47D_BREAST	-71.1	-126.8	142	3	0	0	3
GSM2392582.GSM2392582	CCLE_HCC1428_BREAST.CCLE_HCC1428_BREAST	-214.8	GSM2392582	CCLE_HCC1428_BREAST	-354.0	-139.2	62	84	35	21	28
GSM2392582.GSM2392582	HCC2218_BREAST.CCLE_HCC2218_BREAST	-200.1	GSM2392582	HCC2218_BREAST	-331.8	-131.7	60	79	33	19	27
GSM2392582.GSM2392582	CCLE_HCC1500_BREAST.CCLE_HCC1500_BREAST	-248.4	GSM2392582	CCLE_HCC1500_BREAST	-386.5	-138.1	48	95	38	26	31
GSM2392582.GSM2392582	CCLE_HCC1569_BREAST.CCLE_HCC1569_BREAST	-225.9	GSM2392582	CCLE_HCC1569_BREAST	-361.7	-135.8	54	86	39	20	27
GSM2392582.GSM2392582	HCC1599_BREAST.CCLE_HCC1599_BREAST	-238.2	GSM2392582	HCC1599_BREAST	-370.8	-132.6	52	90	29	19	42
GSM2392582.GSM2392582	CCLE_BT483_BREAST.CCLE_BT483_BREAST	-217.9	GSM2392582	CCLE_BT483_BREAST	-351.6	-133.7	59	85	29	17	39
GSM2392582.GSM2392582	CCLE_BT549_BREAST.CCLE_BT549_BREAST	-181.2	GSM2392582	CCLE_BT549_BREAST	-316.3	-135.2	66	73	38	18	17
GSM2392583.GSM2392583	GSM2392582.GSM2392582	54.3	GSM2392583	GSM2392582	-58.7	-113.0	128	1	0	0	1
GSM2392583.GSM2392583	GSM2392583.GSM2392583	66.9	GSM2392583	GSM2392583	-67.1	-134.0	138	0	0	0	0
GSM2392583.GSM2392583	GSM2392583.GSM2392583	66.9	GSM2392583	GSM2392583	-67.1	-134.0	138	0	0	0	0
GSM2392583.GSM2392583	GSM2392584.GSM2392584	56.3	GSM2392583	GSM2392584	-56.5	-112.8	129	0	0	0	0
GSM2392583.GSM2392583	GSM2392585.GSM2392585	58.0	GSM2392583	GSM2392585	-58.2	-116.2	132	0	0	0	0
GSM2392583.GSM2392583	GSM2392586.GSM2392586	56.0	GSM2392583	GSM2392586	-56.2	-112.2	128	0	0	0	0
GSM2392583.GSM2392583	GSM2392587.GSM2392587	55.3	GSM2392583	GSM2392587	-58.1	-113.4	127	1	0	1	0
GSM2392583.GSM2392583	GSM2392588.GSM2392588	54.6	GSM2392583	GSM2392588	-58.4	-113.0	128	1	0	0	1
GSM2392583.GSM2392583	GSM2392589.GSM2392589	53.0	GSM2392583	GSM2392589	-60.6	-113.7	128	1	0	1	0
GSM2392583.GSM2392583	GSM2392590.GSM2392590	52.6	GSM2392583	GSM2392590	-60.2	-112.8	126	1	0	0	1
GSM2392583.GSM2392583	GSM2392591.GSM2392591	48.2	GSM2392583	GSM2392591	-60.6	-108.9	120	3	0	3	0
GSM2392583.GSM2392583	GSM2392592.GSM2392592	53.2	GSM2392583	GSM2392592	-60.8	-114.0	128	1	0	1	0
GSM2392583.GSM2392583	GSM2392593.GSM2392593	52.5	GSM2392583	GSM2392593	-56.3	-108.8	121	1	0	1	0
GSM2392583.GSM2392583	GSM2392594.GSM2392594	53.0	GSM2392583	GSM2392594	-61.5	-114.5	128	2	0	2	0
GSM2392583.GSM2392583	GSM2392595.GSM2392595	54.0	GSM2392583	GSM2392595	-54.2	-108.1	123	0	0	0	0
GSM2392583.GSM2392583	GSM2392596.GSM2392596	53.0	GSM2392583	GSM2392596	-58.7	-111.8	124	2	0	2	0
GSM2392583.GSM2392583	GSM2392597.GSM2392597	55.7	GSM2392583	GSM2392597	-55.9	-111.6	127	0	0	0	0
GSM2392583.GSM2392583	GSM2392598.GSM2392598	51.9	GSM2392583	GSM2392598	-55.2	-107.1	121	1	0	1	0
GSM2392583.GSM2392583	GSM2392599.GSM2392599	53.8	GSM2392583	GSM2392599	-54.0	-107.9	122	0	0	0	0
GSM2392583.GSM2392583	GSM2392600.GSM2392600	51.6	GSM2392583	GSM2392600	-55.3	-106.8	120	1	0	1	0
GSM2392583.GSM2392583	GSM2392601.GSM2392601	50.0	GSM2392583	GSM2392601	-54.3	-104.3	118	1	0	1	0
GSM2392583.GSM2392583	GSM2392602.GSM2392602	51.4	GSM2392583	GSM2392602	-56.3	-107.8	121	1	0	1	0
GSM2392583.GSM2392583	GSM2392603.GSM2392603	54.0	GSM2392583	GSM2392603	-56.5	-110.5	125	1	0	1	0
GSM2392583.GSM2392583	GSM2392604.GSM2392604	49.9	GSM2392583	GSM2392604	-61.7	-111.6	126	2	0	1	1
GSM2392583.GSM2392583	GSM2392605.GSM2392605	52.0	GSM2392583	GSM2392605	-57.3	-109.3	123	1	0	1	0
GSM2392583.GSM2392583	GSM2392606.GSM2392606	-162.5	GSM2392583	GSM2392606	-278.7	-116.2	54	70	23	16	31
GSM2392583.GSM2392583	GSM2392607.GSM2392607	-151.1	GSM2392583	GSM2392607	-256.1	-105.1	52	61	20	13	28
GSM2392583.GSM2392583	GSM2392608.GSM2392608	-164.1	GSM2392583	GSM2392608	-276.4	-112.3	55	65	23	15	27
GSM2392583.GSM2392583	GSM2392609.GSM2392609	-155.9	GSM2392583	GSM2392609	-261.9	-106.0	51	62	22	12	28
GSM2392583.GSM2392583	GSM2392610.GSM2392610	-168.8	GSM2392583	GSM2392610	-280.5	-111.7	52	68	22	16	30
GSM2392583.GSM2392583	GSM2392611.GSM2392611	-165.8	GSM2392583	GSM2392611	-279.2	-113.4	54	67	23	16	28
GSM2392583.GSM2392583	GSM2392612.GSM2392612	-165.8	GSM2392583	GSM2392612	-277.1	-111.3	53	66	23	15	28
GSM2392583.GSM2392583	GSM2392613.GSM2392613	-168.4	GSM2392583	GSM2392613	-285.1	-116.7	57	68	23	15	30
GSM2392583.GSM2392583	GSM2392614.GSM2392614	-169.6	GSM2392583	GSM2392614	-284.5	-115.0	54	68	25	16	27
GSM2392583.GSM2392583	GSM2392615.GSM2392615	-172.6	GSM2392583	GSM2392615	-290.2	-117.6	55	70	25	16	29
GSM2392583.GSM2392583	GSM2392616.GSM2392616	-152.8	GSM2392583	GSM2392616	-265.3	-112.5	57	63	23	13	27
GSM2392583.GSM2392583	GSM2392617.GSM2392617	-160.7	GSM2392583	GSM2392617	-269.6	-109.0	54	63	21	14	28
GSM2392583.GSM2392583	GSM2392618.GSM2392618	-160.1	GSM2392583	GSM2392618	-268.3	-108.2	51	65	21	14	30
GSM2392583.GSM2392583	GSM2392619.GSM2392619	-148.3	GSM2392583	GSM2392619	-256.8	-108.5	54	62	22	13	27
GSM2392583.GSM2392583	GSM2392620.GSM2392620	-154.6	GSM2392583	GSM2392620	-261.1	-106.5	51	63	22	13	28
GSM2392583.GSM2392583	GSM2392621.GSM2392621	-141.4	GSM2392583	GSM2392621	-246.4	-104.9	52	60	21	12	27
GSM2392583.GSM2392583	GSM2392622.GSM2392622	-159.1	GSM2392583	GSM2392622	-268.9	-109.8	54	64	20	16	28
GSM2392583.GSM2392583	GSM2392623.GSM2392623	-156.8	GSM2392583	GSM2392623	-264.1	-107.2	50	65	21	15	29
GSM2392583.GSM2392583	GSM2392624.GSM2392624	-156.9	GSM2392583	GSM2392624	-263.5	-106.6	52	62	21	14	27
GSM2392583.GSM2392583	GSM2392625.GSM2392625	-162.4	GSM2392583	GSM2392625	-274.4	-112.1	55	66	20	14	32
GSM2392583.GSM2392583	GSM2392626.GSM2392626	-149.9	GSM2392583	GSM2392626	-252.5	-102.6	47	62	21	16	25
GSM2392583.GSM2392583	GSM2392627.GSM2392627	-159.0	GSM2392583	GSM2392627	-262.7	-103.7	48	63	21	14	28
GSM2392583.GSM2392583	GSM2392628.GSM2392628	-153.7	GSM2392583	GSM2392628	-265.5	-111.7	54	65	23	14	28
GSM2392583.GSM2392583	GSM2392629.GSM2392629	-149.4	GSM2392583	GSM2392629	-254.1	-104.7	52	61	19	15	27
GSM2392583.GSM2392583	CCLE_CAL51_BREAST.CCLE_CAL51_BREAST	-203.3	GSM2392583	CCLE_CAL51_BREAST	-324.3	-121.1	55	77	25	11	41
GSM2392583.GSM2392583	CCLE_CAL148_BREAST.CCLE_CAL148_BREAST	-193.4	GSM2392583	CCLE_CAL148_BREAST	-319.0	-125.6	61	74	26	15	33
GSM2392583.GSM2392583	DU4475_BREAST.CCLE_DU4475_BREAST	-177.7	GSM2392583	DU4475_BREAST	-294.9	-117.1	60	68	22	11	35
GSM2392583.GSM2392583	CCLE_HS742T_FIBROBLAST.CCLE_HS742T_FIBROBLAST	-191.9	GSM2392583	CCLE_HS742T_FIBROBLAST	-306.0	-114.1	53	74	16	10	48
GSM2392583.GSM2392583	UACC893_BREAST.CCLE_UACC893_BREAST	-197.2	GSM2392583	UACC893_BREAST	-323.3	-126.2	60	75	27	17	31
GSM2392583.GSM2392583	CCLE_HS281T_FIBROBLAST.CCLE_HS281T_FIBROBLAST	-232.9	GSM2392583	CCLE_HS281T_FIBROBLAST	-352.3	-119.4	47	85	18	16	51
GSM2392583.GSM2392583	CCLE_HS274T_FIBROBLAST.CCLE_HS274T_FIBROBLAST	-209.2	GSM2392583	CCLE_HS274T_FIBROBLAST	-331.4	-122.2	53	79	24	15	40
GSM2392583.GSM2392583	HS606T_FIBROBLAST.CCLE_HS606T_FIBROBLAST	-262.5	GSM2392583	HS606T_FIBROBLAST	-383.7	-121.2	40	93	19	20	54
GSM2392583.GSM2392583	CCLE_HS343T_FIBROBLAST.CCLE_HS343T_FIBROBLAST	-211.8	GSM2392583	CCLE_HS343T_FIBROBLAST	-333.6	-121.8	55	78	20	16	42
GSM2392583.GSM2392583	CCLE_MDAMB468_BREAST.CCLE_MDAMB468_BREAST	-192.5	GSM2392583	CCLE_MDAMB468_BREAST	-325.6	-133.1	61	74	42	21	11
GSM2392583.GSM2392583	MDAMB415_BREAST.CCLE_MDAMB415_BREAST	-229.3	GSM2392583	MDAMB415_BREAST	-355.4	-126.0	50	83	33	17	33
GSM2392583.GSM2392583	MDAMB436_BREAST.CCLE_MDAMB436_BREAST	-180.9	GSM2392583	MDAMB436_BREAST	-307.5	-126.6	62	69	34	18	17
GSM2392583.GSM2392583	CCLE_SKBR3_BREAST.CCLE_SKBR3_BREAST	-227.7	GSM2392583	CCLE_SKBR3_BREAST	-356.5	-128.7	52	83	37	16	30
GSM2392583.GSM2392583	CCLE_MCF7_BREAST.CCLE_MCF7_BREAST	-199.9	GSM2392583	CCLE_MCF7_BREAST	-323.5	-123.5	57	77	22	18	37
GSM2392583.GSM2392583	CCLE_MDAMB175VII_BREAST.CCLE_MDAMB175VII_BREAST	-243.6	GSM2392583	CCLE_MDAMB175VII_BREAST	-372.7	-129.1	48	89	30	21	38
GSM2392583.GSM2392583	AU565_BREAST.CCLE_AU565_BREAST	-218.1	GSM2392583	AU565_BREAST	-346.9	-128.8	53	82	37	15	30
GSM2392583.GSM2392583	HCC1187_BREAST.CCLE_HCC1187_BREAST	-185.4	GSM2392583	HCC1187_BREAST	-314.1	-128.7	60	72	39	17	16
GSM2392583.GSM2392583	CCLE_HCC1143_BREAST.CCLE_HCC1143_BREAST	-178.3	GSM2392583	CCLE_HCC1143_BREAST	-305.5	-127.2	65	70	24	21	25
GSM2392583.GSM2392583	CCLE_HCC1419_BREAST.CCLE_HCC1419_BREAST	-241.5	GSM2392583	CCLE_HCC1419_BREAST	-368.9	-127.3	48	88	33	15	40
GSM2392583.GSM2392583	CCLE_HCC1395_BREAST.CCLE_HCC1395_BREAST	-145.8	GSM2392583	CCLE_HCC1395_BREAST	-274.3	-128.4	73	61	31	17	13
GSM2392583.GSM2392583	HCC2157_BREAST.CCLE_HCC2157_BREAST	-205.2	GSM2392583	HCC2157_BREAST	-336.4	-131.2	56	79	39	19	21
GSM2392583.GSM2392583	CCLE_KPL1_BREAST.CCLE_KPL1_BREAST	-205.2	GSM2392583	CCLE_KPL1_BREAST	-328.9	-123.7	55	79	23	18	38
GSM2392583.GSM2392583	CCLE_BT20_BREAST.CCLE_BT20_BREAST	-189.7	GSM2392583	CCLE_BT20_BREAST	-322.7	-133.0	62	74	41	19	14
GSM2392583.GSM2392583	CCLE_HMC18_BREAST.CCLE_HMC18_BREAST	-216.6	GSM2392583	CCLE_HMC18_BREAST	-339.4	-122.8	47	80	35	20	25
